gene	up_in
SEP10	NHP
ABCF1	NHP
AL133243.2	NHP
ATP11C	NHP
BRD2	NHP
BZW1	NHP
C6orf48	NHP
CDV3	NHP
CHURC1	NHP
CLIC4	NHP
CLPX	NHP
CSNK2B	NHP
CTC-429P9.3	NHP
CTC-444N24.11	NHP
DDR1	NHP
FAM184B	NHP
FAM60A	NHP
FGFBP3	NHP
GHITM	NHP
GNAQ	NHP
HELZ	NHP
INTS2	NHP
IRGQ	NHP
KPNA4	NHP
LIMCH1	NHP
LMTK2	NHP
LSM12	NHP
MAT2A	NHP
MCL1	NHP
NFAT5	NHP
PAICS	NHP
PRTFDC1	NHP
RP4-775C13.1	NHP
RPS9	NHP
SEC22B	NHP
SEC63	NHP
SLC35D1	NHP
SLC38A2	NHP
SLU7	NHP
SNHG16	NHP
STARD7	NHP
TAF9	NHP
TCF3	NHP
TCF7L2	NHP
TJP1	NHP
TMEM97	NHP
TTC28	NHP
TUBB	NHP
UBE2G1	NHP
VTI1A	NHP
YPEL5	NHP
ZIK1	NHP
ZNF445	NHP
ZNHIT6	NHP
AC004057.1	Human
AC016708.2	Human
AC026271.5	Human
AC253572.1	Human
ADNP	Human
AGAP4	Human
AKAP12	Human
ANKRD10	Human
ANKRD36	Human
ANKRD36B	Human
ANKRD40	Human
ARHGEF10	Human
ARL17A	Human
ARL17B	Human
ATP6V1A	Human
BHLHB9	Human
BROX	Human
BZW1P2	Human
C2orf68	Human
C7orf55-LUC7L2	Human
C9orf72	Human
CASP2	Human
CAT	Human
CBR4	Human
CBWD1	Human
CBWD3	Human
CBWD5	Human
CBWD7	Human
CDKAL1	Human
CEP170P1	Human
CEP78	Human
CEP95	Human
CERS5	Human
CHCHD3	Human
CRLF3	Human
CROCCP2	Human
CSAD	Human
CSNK2A2	Human
CTC-308K20.3	Human
CTTN	Human
DAAM1	Human
DCAF16	Human
DCLRE1C	Human
DDHD1	Human
DFFA	Human
DYNC1I2P1	Human
EFR3B	Human
EIF3LP2	Human
EIF4EBP2	Human
ELMSAN1	Human
ETNK1	Human
FAM110B	Human
FAUP1	Human
FGF12	Human
FGF13	Human
FLRT2	Human
FNIP1	Human
FRG1	Human
GAN	Human
GID8	Human
GOLGA8B	Human
GOSR1	Human
GPIHBP1	Human
GTF2I	Human
GTF2IP1	Human
GUSBP1	Human
H3F3C	Human
HERC2P2	Human
HERC2P9	Human
HNRNPA1L2	Human
HNRNPCP2	Human
IFNAR1	Human
INSR	Human
INTS6	Human
JPX	Human
KIAA1456	Human
KIAA1549	Human
KIF5A	Human
LETM1	Human
LINC00969	Human
LRRC37A2	Human
LRRC75A-AS1	Human
MDM2	Human
ME2	Human
MED28	Human
MFN1	Human
MPRIP-AS1	Human
MTMR9	Human
MUM1	Human
NAA15	Human
NAIP	Human
NARF	Human
NBPF1	Human
NBPF11	Human
NBPF12	Human
NBPF14	Human
NBPF15	Human
NBPF25P	Human
NBPF9	Human
NGRN	Human
NOL4L	Human
NPIPB5	Human
NR2C1	Human
NUDT3	Human
NUP155	Human
NUP50	Human
PAN3	Human
PAPD4	Human
PCBP1-AS1	Human
PCMTD1	Human
PCNXL4	Human
PDE4DIP	Human
PDXDC1	Human
PHACTR1	Human
PI4KA	Human
PIP4K2A	Human
PRKCA	Human
PTBP2	Human
PTEN	Human
PTPN4	Human
PTPRS	Human
RAB21	Human
RAD52	Human
RAF1	Human
RANBP2	Human
RAP2B	Human
RBBP4P1	Human
RGPD5	Human
RGPD8	Human
RP1-182O16.1	Human
RP11-16E23.4	Human
RP11-175B9.3	Human
RP11-260M2.1	Human
RP11-33B1.1	Human
RP11-488L18.10	Human
RP11-499P20.2	Human
RP11-543P15.1	Human
RP11-69L16.5	Human
RP11-90H3.1	Human
RP3-368A4.5	Human
RP4-635E18.8	Human
RPL14P1	Human
RPL24P4	Human
RPL34P18	Human
RPL5P23	Human
RPS4Y1	Human
RRP15	Human
SAR1A	Human
SCARNA22	Human
SGCB	Human
SGIP1	Human
SGPL1	Human
SKIDA1	Human
SKIL	Human
SKP1P1	Human
SLC29A4	Human
SLC35E2B	Human
SLC35E3	Human
SLC35F1	Human
SLX4IP	Human
SMAD2	Human
SMAD9	Human
SMN1	Human
SORT1	Human
SRGAP2B	Human
SRGAP2C	Human
SRP9P1	Human
SRSF6	Human
SSU72	Human
STARD4-AS1	Human
STRN3	Human
SUGT1	Human
SYNJ2BP	Human
TARBP1	Human
TCEA1P2	Human
TGFBR1	Human
THAP5	Human
TIAL1	Human
TMED4	Human
TMEM33	Human
TPT1-AS1	Human
TRIM36	Human
TRIM36-IT1	Human
TRIM59	Human
TRIO	Human
TRMT61B	Human
TSPYL1	Human
TULP4	Human
UBE2Q2P2	Human
UBE2Q2P6	Human
USP31	Human
VPS53	Human
WIPF3	Human
WWTR1	Human
YWHAEP1	Human
ZNF117	Human
ZNF195	Human
ZNF264	Human
ZNF286A	Human
ZNF286B	Human
ZNF333	Human
ZNF43	Human
ZNF532	Human
ZNF562	Human
ZNF587	Human
ZNF814	Human
ZNF83	Human
