Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells
HSP90AA1	human	0	2.220039718	0.991	0	HSP90AA1	human	0	2.070933431	0.993	0	HSP90AA1	human	0	2.145872231	1	0	HSP90AA1	human	0	2.140890398	0.994	0	HSP90AA1	human	0	2.470067579	0.976	0	BX255923.3	chimp	0	1.369706004	0.009	0.724	BX255923.3	chimp	0	1.278281529	0	0.754	BX255923.3	chimp	0	1.140177134	0	0.575	BX255923.3	chimp	0	1.454965437	0.016	0.774	AC005944.2	chimp	0	1.58691657	0	0.662
ANKRD36	human	0	1.780495792	0.924	0	UBB	human	0	1.584698067	0.942	0.049	UBB	human	0	1.732253255	0.888	0	ANKRD36	human	0	1.779915997	0.963	0	ANKRD36	human	0	2.026821749	0.914	0	RP11-473I1.9	chimp	0	1.184135776	0	0.688	RP11-473I1.9	chimp	0	1.044184923	0	0.673	RP11-473I1.9	chimp	0	1.083586695	0	0.642	RP11-473I1.9	chimp	0	1.235403398	0	0.752	RP11-473I1.9	chimp	0	1.511271422	0	0.646
ANKRD36C	human	0	1.700022963	0.875	0	ANKRD36	human	0	1.514214757	0.902	0	UBE2Q2P6	human	0	1.607153885	0.947	0	ANKRD36C	human	0	1.704280854	0.929	0	UBB	human	0	1.950963818	0.815	0	SPATA6	chimp	0	1.111377723	0.06	0.872	YTHDF1	chimp	0	0.993901324	0.214	0.867	SNHG16	chimp	0	1.046211965	0.25	0.908	SPATA6	chimp	0	1.201575975	0.008	0.863	SPATA6	chimp	0	1.284138636	0	0.708
UBB	human	0	1.695636416	0.877	0.014	UBE2Q2P6	human	0	1.469903291	0.923	0	RPL3P4	human	0	1.476293455	0.914	0	UBB	human	0	1.632931188	0.869	0	ANKRD36C	human	0	1.932301953	0.852	0	YTHDF1	chimp	0	1.005074112	0.237	0.86	CBFB	chimp	0	0.95514075	0.266	0.754	SPATA6	chimp	0	1.032026452	0.125	0.917	ZNF839P1	chimp	0	1.042060755	0.02	0.491	TUBB	chimp	3.33E-16	0.403985937	0.976	0.877
ANKRD36B	human	0	1.577629977	0.857	0	RPL3P4	human	0	1.405607044	0.951	0	TUBB2B	human	0	1.343344832	0.974	0.304	TUBB2A	human	0	1.617151469	0.876	0	ANKRD36B	human	0	1.785108791	0.824	0	SNHG16	chimp	0	0.990882654	0.266	0.865	ZNRF3	chimp	0	0.923741508	0	0.445	AC005944.2	chimp	0	0.955174105	0	0.625	SNHG16	chimp	0	1.030872648	0.243	0.85	RP11-447H19.1	chimp	5.00E-15	0.637510138	0.024	0.585
UBE2Q2P6	human	0	1.562648307	0.866	0	ANKRD36C	human	0	1.403032008	0.829	0	HNRNPA1L2	human	0	1.137808909	0.901	0	ANKRD36B	human	0	1.614793215	0.921	0	UBE2Q2P6	human	0	1.749399624	0.777	0	AC005944.2	chimp	0	0.955739488	0	0.598	SPATA6	chimp	0	0.889762373	0.22	0.948	YTHDF1	chimp	0	0.921056358	0.212	0.825	ANKRD36P1	chimp	0	1.027388305	0	0.645	BX255923.3	chimp	3.71E-13	1.502335264	0.012	0.508
TUBB2A	human	0	1.514273223	0.762	0	VAPA	human	0	1.331434646	0.727	0	PTPRS	human	0	0.406660001	1	0.783	ZNF286A	human	0	1.584100251	0.801	0.019	TUBB2A	human	0	1.696507293	0.723	0	ZNF839P1	chimp	0	0.922131186	0.017	0.443	UGDH	chimp	0	0.886517833	0.243	0.787	PCMTD2	chimp	0	0.709049168	0.662	0.967	YTHDF1	chimp	0	1.02629014	0.263	0.893	SUMO2P1	chimp	4.47E-12	0.402959953	0.583	0.508
ZNF286A	human	0	1.460424355	0.698	0.03	NBPF14	human	0	1.299321188	0.881	0	ANKRD36	human	1.11E-16	1.63869732	0.875	0	UBE2Q2P6	human	0	1.525751116	0.894	0	PDE4DIP	human	0	1.692107305	0.708	0	ANKRD36P1	chimp	0	0.859342448	0	0.53	SNHG16	chimp	0	0.850928589	0.399	0.919	SNORD13	chimp	1.11E-16	0.581415262	0	0.5	LNX2	chimp	0	0.968814345	0.068	0.462	RP11-463C14.1	chimp	5.61E-12	0.857758855	0.048	0.492
RPL3P4	human	0	1.445548908	0.887	0	MDM2	human	0	1.237736344	0.726	0.061	ZNF286B	human	3.33E-16	1.550049117	0.862	0	ZNF286B	human	0	1.457901738	0.756	0	RPL3P4	human	0	1.610319902	0.823	0	CBFB	chimp	0	0.8175487	0.208	0.602	ZNF839P1	chimp	0	0.842777432	0.023	0.464	RP11-463C14.1	chimp	1.11E-16	0.491213499	0	0.5	APPBP2	chimp	0	0.943183277	0.247	0.769	RPL7P13	chimp	6.44E-12	0.469686547	0	0.431
ZNF286B	human	0	1.349669566	0.643	0	ANKRD36B	human	0	1.234463588	0.79	0	RP11-543P15.1	human	6.66E-16	0.928413962	0.855	0	RPL3P4	human	0	1.368178468	0.888	0	CTTN	human	0	1.455083329	0.589	0.05	APPBP2	chimp	0	0.802555891	0.292	0.757	FAM184B	chimp	0	0.813747476	0.075	0.507	ANKRD36P1	chimp	2.22E-15	0.726373141	0	0.467	TRAK2	chimp	0	0.91175129	0.159	0.697	USMG5P1	chimp	9.65E-12	0.681278134	0.036	0.446
